id,est,number of links
1382,1,20
995,2,33
611,3,12
1862,2,44
1721,2,20
923,2,10
62,2,29
315,2,8
1372,2,78
2118,2,16
1600,3,62
58,1,23
65,2,27
1729,2,60
654,2,25
894,3,18
1646,2,28
1701,1,73
701,2,143
824,1,32
219,2,25
1940,3,25
1189,2,10
1159,2,65
777,2,6
542,2,24
191,2,22
2032,2,72
1910,1,190
376,1,67
292,2,70
495,1,19
313,2,67
1416,2,44
1623,3,40
601,2,21
769,2,94
1107,3,21
1587,2,19
458,3,49
2052,3,32
798,2,106
1912,1,13
832,3,55
45,2,27
997,2,28
623,3,154
804,2,60
917,2,40
450,3,42
1202,2,16
1690,2,42
1830,3,22
577,2,16
1137,1,32
2138,2,21
1772,1,11
78,3,47
1829,1,12
592,2,14
1961,3,40
2116,2,14
2038,2,43
1516,2,110
1197,2,47
1326,2,53
1278,3,63
1012,1,68
272,2,23
442,3,46
2044,2,39
419,2,74
152,3,22
1586,2,25
674,2,104
1637,2,17
888,2,63
604,3,9
767,2,72
1633,2,75
138,3,26
2141,2,15
545,1,39
1407,2,27
759,3,35
338,2,26
1331,3,36
1118,1,25
2049,2,70
989,1,24
264,3,30
1683,2,130
1631,2,36
1581,2,16
336,2,49
901,1,21
754,3,50
129,2,96
2120,1,12
47,2,82
1756,1,18
1692,3,36
390,1,34
1115,2,28
613,3,17
892,2,157
666,1,27
1112,2,132
860,2,24
361,3,29
947,2,58
257,1,19
133,3,31
478,2,56
807,1,19
993,2,165
388,2,21
1285,2,23
1590,2,28
727,2,31
287,2,59
1803,2,13
392,2,101
2005,3,109
838,1,26
1901,2,31
231,2,24
538,2,23
403,1,26
1843,1,29
1629,3,18
541,2,166
1560,1,14
1825,2,108
1513,2,92
1388,2,31
186,2,21
1333,3,64
1819,1,46
905,3,15
1557,2,30
906,1,108
1186,3,21
263,1,14
1393,2,26
643,2,63
1467,2,35
1763,3,13
559,2,147
1019,2,21
1408,3,50
1833,2,31
1737,2,41
372,2,21
2006,1,16
716,1,16
389,1,22
1712,2,69
279,2,17
818,2,87
630,2,21
262,1,39
1312,1,90
1162,2,27
134,3,45
445,3,25
1105,2,39
1757,1,69
1537,3,62
861,1,19
618,2,70
1632,2,23
1002,3,17
337,2,15
48,2,36
127,3,27
1944,2,17
970,2,38
1143,2,20
1273,3,12
876,3,29
2072,2,28
46,2,21
1930,1,19
322,2,10
2039,1,35
1811,2,40
1991,1,26
1794,2,32
977,2,4
1401,1,33
196,2,137
1454,2,13
928,1,19
2134,2,27
1860,1,23
761,2,22
437,2,142
1788,1,19
374,3,12
1298,2,18
312,2,17
449,2,20
210,1,87
294,2,21
1784,2,71
1030,1,19
1259,2,32
184,3,30
1589,2,16
1321,2,46
1420,2,27
2124,3,21
1244,2,60
1212,2,19
460,2,36
1040,3,46
430,3,23
1635,2,98
675,2,87
735,2,18
1949,3,35
631,1,22
810,2,18
146,2,107
247,2,107
1471,3,22
1668,2,27
605,2,10
1469,1,80
1806,2,21
741,2,38
363,2,19
350,2,16
1776,3,14
820,2,91
1510,2,42
1411,2,22
290,1,14
1302,2,41
84,2,42
1642,3,23
736,2,88
563,3,11
1824,3,26
1081,2,23
2000,3,85
1651,3,65
1231,3,55
522,1,31
329,2,23
1655,2,29
500,2,13
124,2,78
1720,1,75
882,2,47
122,3,143
154,3,40
597,2,17
1775,2,16
1349,2,22
488,2,26
952,3,23
1736,2,16
1980,2,70
957,1,10
789,1,75
308,2,20
159,3,51
985,3,50
465,2,108
195,2,96
1892,2,17
679,1,143
1954,3,64
602,2,186
1555,2,106
269,2,24
1747,1,9
375,3,15
1496,3,117
37,1,33
841,2,18
2133,2,14
1269,3,93
1378,3,6
1785,3,18
1087,2,21
1135,3,49
2071,1,143
126,2,28
1313,2,124
339,1,102
531,2,14
1324,2,106
2109,1,30
147,2,26
1951,2,107
1952,2,22
343,2,34
1304,2,10
1270,3,102
1525,2,11
1252,3,21
1955,2,27
543,3,23
946,3,69
1666,2,95
988,2,22
667,2,40
1645,2,35
68,2,143
839,2,48
1124,2,17
2029,2,22
1998,2,42
2140,2,24
1046,2,20
766,1,24
801,2,72
366,3,58
1055,2,67
293,1,22
825,2,30
2009,1,134
288,3,13
583,2,189
1818,2,14
1248,3,22
505,3,52
1168,3,69
837,2,30
1748,2,13
307,2,15
1274,2,96
1024,2,21
56,2,53
1508,3,23
1554,1,20
648,3,26
775,3,142
1322,2,7
119,3,32
1346,3,25
169,2,106
1647,1,41
1280,3,34
1877,2,28
1549,1,131
1758,2,21
459,3,159
693,2,44
149,2,21
1706,3,56
1754,1,34
1896,2,18
734,2,21
1116,2,115
452,2,108
222,2,8
548,3,26
2117,2,29
1161,2,19
11,2,106
635,3,17
1381,3,27
1053,3,17
239,2,36
2110,1,79
448,2,32
2074,2,26
533,2,35
1288,1,14
813,2,32
1317,1,27
1911,3,147
877,2,24
588,2,30
359,1,30
218,2,14
1099,2,111
1527,2,74
840,2,41
2048,1,28
719,2,17
1884,2,23
907,2,143
1016,3,27
677,2,13
6,2,24
1707,3,23
1375,2,11
2060,3,138
364,3,115
1887,2,34
1015,3,43
1268,2,22
2065,3,20
2035,1,108
2028,2,125
1566,1,77
1950,2,21
1287,2,23
31,3,158
318,2,13
384,2,33
589,2,16
1129,2,28
400,2,12
30,3,37
1810,1,71
898,3,19
1987,2,9
525,2,138
691,2,19
708,2,104
1056,2,64
54,2,54
302,2,23
1813,2,74
1839,1,13
791,2,17
1934,2,36
1497,1,165
1294,2,20
1859,2,39
345,2,89
1789,2,124
1885,2,22
1220,2,20
104,3,21
1908,2,30
2119,2,147
1889,3,18
934,2,93
2067,2,76
352,2,30
305,2,76
1080,2,20
1380,2,95
546,1,24
688,3,23
1753,1,25
1406,2,68
112,2,139
731,2,92
243,3,29
106,1,23
1963,3,140
1157,1,21
310,2,28
1805,1,23
1351,2,14
1649,2,15
2031,2,91
594,1,24
642,2,172
1640,2,139
609,1,10
1136,2,32
1556,2,160
1746,2,19
1796,3,19
320,3,19
1626,2,27
1831,2,24
1735,2,152
564,2,22
1181,1,44
641,2,38
1928,2,19
61,2,36
748,2,14
792,2,134
2090,3,32
193,3,23
634,3,15
842,1,22
1570,2,28
1419,2,95
111,2,22
2045,2,25
1232,2,36
1823,3,25
521,3,32
1762,2,17
2112,2,17
1311,1,17
1063,2,25
1177,2,10
2091,2,42
178,2,107
1308,1,24
933,2,19
796,2,31
1257,1,25
275,2,13
1111,1,14
1295,1,96
1627,2,48
513,2,148
412,1,26
70,3,18
238,3,20
828,3,41
1114,2,34
929,2,26
552,2,19
1667,2,22
344,3,20
866,3,31
1465,3,59
1899,1,22
434,2,52
1968,3,27
1376,1,31
1250,1,65
1043,3,41
482,3,16
1383,3,17
770,2,93
271,2,34
1426,2,76
1037,2,74
1249,2,21
1790,2,69
1923,2,27
1225,2,17
1792,1,110
467,3,57
774,2,101
1271,1,38
446,2,15
1863,2,36
660,2,15
1548,2,72
1097,1,30
1284,1,26
2019,1,55
1336,3,31
690,2,15
1609,3,45
2128,2,17
718,3,40
357,2,35
694,3,14
2098,1,75
418,3,101
1597,2,21
130,3,34
581,2,51
1511,2,79
86,2,30
1275,1,18
1657,2,17
13,1,134
1464,2,27
1300,3,27
497,2,16
1475,2,12
639,2,98
217,2,22
1036,2,30
383,3,53
1155,3,12
1660,3,15
1972,1,29
1086,3,24
617,2,125
1389,3,42
712,3,16
1743,2,16
1127,3,51
614,2,184
1149,2,23
1662,2,94
95,2,4
1931,3,15
393,2,26
2132,3,20
1574,3,106
591,2,31
1925,2,104
1396,1,48
1804,2,116
447,2,109
66,2,117
1767,2,40
1971,2,15
373,3,141
2042,2,92
624,1,20
1945,2,16
755,2,34
94,2,15
1260,2,30
436,1,48
1906,2,102
606,2,127
1582,2,111
1711,2,26
526,2,25
2114,2,15
728,1,21
76,3,20
2080,1,10
778,2,86
113,3,44
501,3,23
1855,2,13
595,3,141
1538,2,23
1253,2,17
1205,1,18
477,2,14
1483,2,26
555,2,17
1514,2,14
1989,2,14
912,3,143
2093,3,59
1883,1,15
1761,1,34
407,1,21
355,1,105
1335,1,16
1309,2,96
1596,1,19
421,1,71
626,1,65
102,2,37
351,3,28
685,2,63
582,2,93
1742,3,18
464,1,23
537,2,26
784,2,15
1361,2,19
580,2,95
1764,3,30
356,1,47
121,3,17
353,2,34
171,2,116
1387,2,20
1621,1,26
1630,1,75
38,2,47
185,3,87
282,1,58
1891,2,31
1924,2,21
1039,2,28
683,2,16
2040,2,7
1342,3,25
1237,2,21
385,1,151
1941,2,20
2136,2,11
135,1,19
1553,2,26
1319,3,138
276,1,21
850,3,15
1160,2,129
1062,2,93
1490,2,43
1535,3,22
1777,2,28
1484,3,25
554,1,26
625,3,17
1299,2,19
235,2,129
306,2,58
1856,2,15
579,2,37
829,2,10
1559,1,193
1861,1,69
1962,3,57
334,2,78
1485,2,108
1079,2,14
466,2,23
44,3,39
143,2,150
2105,2,19
740,2,12
1438,2,36
1652,2,24
836,3,19
510,3,22
704,2,40
97,1,20
856,2,65
368,3,33
1687,2,97
1363,3,25
1421,1,76
237,2,27
1392,1,19
1305,3,16
722,2,107
709,1,17
1219,1,102
506,2,46
1214,2,79
1547,2,71
1744,3,25
432,3,37
1293,1,19
411,1,23
90,2,51
1463,2,38
2073,2,32
1427,1,148
717,2,8
795,3,117
3,3,28
527,3,48
36,2,93
1436,2,86
1100,2,29
1760,2,26
1184,2,15
1369,2,14
978,3,13
1501,2,28
174,2,135
762,2,25
1728,1,28
1976,2,42
979,3,111
1929,1,29
444,2,17
1798,2,25
2079,1,26
1865,1,31
752,2,19
1174,3,144
1364,2,140
204,1,69
1176,1,30
221,3,27
768,2,56
869,2,24
1615,1,68
284,2,24
1210,1,111
953,2,25
776,2,20
494,2,24
2070,2,125
2123,2,26
1967,1,26
281,1,22
4,2,31
2102,3,27
2111,1,27
1617,2,12
208,3,20
148,3,19
160,3,60
20,3,20
730,2,11
758,2,179
1178,2,133
878,2,20
1960,2,88
612,1,13
1965,2,86
120,2,38
911,3,21
1914,1,20
2137,1,80
619,1,28
1445,3,24
1209,2,80
1175,3,15
1905,2,32
1852,2,38
379,2,32
289,3,105
1439,2,17
1920,2,117
1447,2,141
348,2,20
2086,3,14
702,2,21
885,2,12
439,2,20
1256,2,15
1449,2,73
935,2,37
1201,2,13
1809,2,41
558,2,26
1921,2,10
940,1,24
535,2,12
1341,3,49
1025,2,28
209,2,167
1828,1,95
1027,2,26
966,1,33
1799,3,19
1872,2,5
1142,2,53
2083,1,25
514,3,101
1121,2,38
358,1,140
507,2,129
1041,1,35
1065,1,19
250,3,20
1365,2,15
71,2,138
475,2,125
206,2,13
1096,2,45
1066,3,18
1242,2,11
865,2,23
1290,3,21
959,2,24
1045,2,39
956,3,13
1017,2,12
657,2,47
673,2,21
1520,2,24
1134,1,31
1724,2,143
549,2,160
1479,1,47
638,3,15
1446,1,53
1517,3,29
1328,2,165
1704,2,34
984,2,24
509,3,61
1725,3,53
425,2,50
1414,2,156
156,1,23
440,2,31
1782,2,36
1360,2,55
1418,2,20
2023,2,36
1897,1,31
1506,1,70
2125,1,185
1694,2,19
794,3,22
1969,1,9
963,1,15
1239,2,105
1413,1,31
1719,2,15
137,2,170
1216,2,115
1686,3,114
1592,1,18
1431,2,9
484,2,32
1997,2,14
67,2,152
1145,2,35
1619,3,18
2027,1,27
1705,2,16
153,3,21
511,3,32
1847,3,42
1026,1,26
1842,2,110
1893,3,18
1329,3,65
2126,2,184
1297,2,26
1992,2,34
889,3,23
1164,2,23
1703,2,23
1797,1,16
1166,2,25
915,2,82
553,2,43
1541,2,130
1936,2,107
1740,2,10
1296,3,22
1939,2,136
346,2,213
551,3,22
945,1,28
1254,3,25
234,2,25
723,2,21
1880,2,21
896,1,104
323,1,28
1169,2,29
1428,3,43
1771,2,31
1466,2,24
1571,2,27
1727,3,35
968,2,9
1616,3,28
1357,2,21
916,3,24
1330,1,6
1442,2,75
101,1,119
1638,3,67
82,2,77
107,2,14
2104,3,13
802,2,22
215,2,20
341,2,41
757,2,30
498,1,24
2007,2,23
131,3,129
2051,2,17
1680,3,14
764,2,29
566,2,18
1140,3,43
676,3,20
402,3,16
42,2,23
2001,2,14
1505,3,19
622,3,27
367,2,41
1995,2,23
1575,2,100
669,1,23
687,1,16
867,1,30
1986,2,29
574,2,74
1130,2,66
572,2,13
607,1,42
1749,2,12
188,2,30
1522,3,30
1283,2,22
398,2,28
1802,2,36
251,2,33
808,1,22
651,1,31
433,2,14
1528,1,10
1741,3,27
1093,3,16
1370,1,98
83,3,18
162,2,94
887,3,38
955,2,33
55,2,26
636,1,71
1665,1,71
1385,2,19
161,2,98
1044,2,97
1069,1,25
1083,3,135
1208,1,90
321,2,34
139,3,41
652,2,89
1714,2,49
1988,2,26
990,2,17
87,3,50
1909,2,68
1689,2,72
753,1,25
14,3,45
301,2,24
518,3,27
884,2,24
1014,1,73
1106,2,20
2041,2,20
1368,3,9
845,3,21
362,2,33
971,2,23
167,2,71
252,2,23
1050,2,24
1402,3,26
1685,1,142
325,3,47
2018,2,72
1715,2,111
1452,2,37
986,2,31
1488,2,98
1072,2,73
918,2,121
1423,1,26
370,3,35
1359,3,14
1379,2,20
1876,2,16
1327,1,14
479,3,17
1871,2,7
324,2,28
499,2,10
1676,2,114
1734,2,16
1874,1,28
490,1,20
1765,2,45
1653,2,19
166,1,118
296,2,26
1502,3,19
1078,3,16
1226,2,127
924,2,17
109,2,112
2015,1,28
1533,2,46
1386,3,19
805,2,18
663,2,46
395,1,64
303,3,18
809,3,43
1444,2,16
502,2,16
1927,2,88
304,2,89
1795,3,21
1584,1,109
962,1,18
756,3,112
1494,2,13
821,3,119
504,1,36
750,2,12
872,2,115
1780,2,11
1973,2,16
811,3,64
2046,1,130
1366,2,29
749,1,135
1263,2,26
1422,2,23
1077,2,19
1258,2,22
1576,2,87
874,3,19
1303,2,14
1832,2,29
1768,3,17
1404,3,51
165,3,174
1585,2,93
81,1,92
220,2,52
474,2,39
1104,3,22
1172,2,76
248,2,14
1643,2,27
1230,3,16
646,2,21
964,2,39
1493,2,109
739,2,42
1051,1,23
443,2,99
96,2,23
733,2,25
1320,1,39
347,2,97
830,1,15
1480,2,51
763,2,34
2030,2,19
2066,2,12
1071,3,128
2129,1,72
1473,2,32
2095,2,156
575,2,18
765,2,19
700,2,136
1519,2,14
0,3,44
2064,1,18
12,2,105
844,3,52
1033,2,12
655,3,22
150,3,2
1851,3,46
790,3,13
670,1,10
705,2,55
1167,2,122
529,2,16
1738,2,127
1325,2,153
1890,2,31
1109,2,67
1004,1,36
1440,1,180
1815,1,164
2103,2,28
797,2,67
75,2,12
1888,2,96
1607,2,116
565,2,52
961,2,23
567,2,27
18,2,17
377,2,12
472,2,84
223,2,144
1848,1,25
79,2,193
1594,2,27
1412,2,52
1171,2,75
1726,2,27
706,2,45
136,2,34
200,3,25
530,3,36
409,2,72
1752,2,18
319,2,52
151,2,136
1834,3,23
998,2,27
999,2,14
2050,3,18
1179,3,12
170,2,13
1624,3,34
994,3,14
