id,est,number of links
3349,2,16
2059,2,26
1075,3,94
3516,2,21
4168,3,12
4185,2,67
4152,1,59
1012,1,15
2520,2,11
1344,3,12
973,3,22
4306,2,18
1897,3,20
78,3,26
58,2,31
832,2,60
154,2,31
3994,2,10
4527,3,28
1742,2,18
2990,3,25
1959,3,13
2100,3,19
4433,2,89
754,2,42
4294,2,112
1511,2,30
2084,3,47
1343,2,23
841,2,99
1753,2,22
2959,2,64
3888,2,20
4043,1,13
2686,2,12
1451,2,130
3236,3,57
2497,2,32
678,2,40
2007,2,37
3410,2,14
70,1,71
134,1,42
4162,2,18
1761,2,29
3688,2,45
1418,2,22
502,2,16
2989,2,39
992,3,22
340,2,41
2483,1,89
3921,3,130
1101,2,154
2267,1,105
3600,2,28
4396,2,17
298,2,51
1437,2,30
313,2,28
1478,2,71
525,3,114
4159,2,58
3969,2,20
4271,3,23
3530,2,135
2746,2,160
4442,2,18
1560,2,31
212,2,14
225,2,13
3584,3,56
3709,2,28
1449,2,60
360,2,35
1168,2,19
2802,2,15
2384,1,28
104,2,122
1898,2,31
1577,3,21
1079,3,17
4313,2,56
48,3,56
768,2,50
4435,3,16
2991,3,11
189,2,19
1665,3,25
4530,2,36
181,3,143
2937,2,36
4027,2,21
4151,2,14
111,2,21
200,3,24
1938,2,14
325,2,29
453,2,32
2469,1,21
2636,2,15
2614,2,9
1709,3,22
3468,1,86
4125,2,31
1036,2,16
4534,1,49
2154,3,114
1853,2,12
825,3,25
3916,1,33
273,2,36
499,2,63
1307,3,22
2400,2,50
483,1,23
3609,2,28
2829,3,11
4176,3,17
3866,1,9
3348,2,55
4457,1,39
1952,2,27
1547,1,87
2641,1,67
2672,2,45
589,2,50
921,2,110
851,2,31
3204,2,27
1397,2,26
2706,2,26
469,3,16
2918,2,40
4002,2,26
2233,2,18
3625,1,26
3995,2,10
1532,3,16
3879,2,20
881,2,23
2201,1,83
3056,2,22
3014,2,12
3217,2,17
3328,3,23
108,1,70
2359,2,57
316,2,21
4375,2,14
2205,1,86
1612,1,229
1136,2,121
3335,2,20
3721,1,97
120,2,125
1234,3,27
3541,3,107
3137,2,131
296,3,11
348,1,33
582,1,28
2166,2,58
1054,2,20
