id,est,number of links
8047,1,126
4415,1,43
8091,3,215
2459,2,30
7528,1,28
8401,2,78
684,1,53
409,1,24
1716,2,203
3634,2,36
8238,2,102
7549,2,87
1506,2,56
2154,2,38
8246,2,216
7879,2,117
2970,1,46
6974,2,52
58,1,22
2818,1,51
1225,1,131
949,1,115
7085,1,37
7830,1,72
2958,1,83
61,1,31
7671,1,49
7365,3,97
3667,1,30
1168,2,83
2012,2,47
1407,1,121
4783,2,62
5027,1,37
3803,3,48
5040,2,60
7332,1,182
6852,1,38
219,1,227
4123,2,172
3282,2,222
7751,1,45
6022,2,71
2226,3,33
2200,2,27
1839,1,56
6512,2,71
7438,2,52
2624,3,39
5869,2,85
4429,3,58
1346,1,35
6871,1,193
6859,2,75
1116,1,145
1990,2,227
6619,3,204
6986,2,133
6021,1,106
5000,3,53
6255,1,32
5463,2,67
5202,1,223
1023,3,279
1778,2,190
2788,1,79
7827,3,163
2073,2,39
5959,2,37
376,1,69
1736,1,199
8232,2,110
1665,1,71
6401,1,216
4827,2,150
1183,1,43
3052,1,40
6856,2,17
304,2,33
5031,1,143
5718,2,49
138,1,195
6802,1,95
3948,2,10
6193,2,88
7654,2,35
1280,1,26
3985,3,63
6751,1,38
3570,2,174
6804,2,150
7564,3,42
3625,1,174
6869,3,248
2028,1,142
3621,2,49
3579,1,35
7955,2,138
362,2,39
865,3,60
4062,2,125
3722,1,213
3708,1,34
3171,1,65
2972,3,28
5162,2,94
2682,1,165
7969,1,195
2737,1,126
7448,1,27
8463,2,133
5287,2,48
4960,2,72
434,2,66
607,2,51
2990,2,39
5940,1,160
5613,2,55
5710,1,46
8298,1,56
3013,1,30
7685,1,145
4362,2,176
4884,3,184
2601,3,36
5479,1,55
8428,1,100
4620,2,188
2511,1,55
5377,1,125
1675,2,29
212,3,26
8305,1,108
3714,2,49
7534,3,54
2264,2,71
4638,1,55
44,2,73
8152,2,58
7196,2,46
5567,2,85
1760,2,49
5336,1,115
560,3,24
2562,1,81
1798,1,54
2781,2,41
6496,1,188
4578,1,107
2892,2,53
7389,3,64
5192,2,39
206,1,16
6954,1,50
8111,1,40
3008,2,91
8419,3,41
2005,1,136
81,1,35
5085,2,228
179,2,73
4192,1,38
2247,2,184
4888,2,59
1608,1,83
1292,2,89
2762,2,33
6161,1,99
449,2,31
2374,2,25
7214,2,36
4702,1,113
4967,1,49
7889,1,193
4746,3,36
5237,1,30
4365,2,140
4704,2,44
238,2,44
1187,1,50
6910,2,210
7232,2,51
4375,1,78
957,3,52
596,1,166
1097,3,49
4863,2,45
2952,2,58
1105,1,131
7068,2,135
2340,2,46
702,1,154
6035,2,126
3974,1,135
6348,1,122
5589,3,32
8174,2,30
5464,2,54
3749,1,21
85,1,28
5532,1,62
4546,3,57
6356,2,50
6917,1,43
5457,3,25
1885,2,32
4488,2,103
1511,1,116
1471,1,95
6396,2,230
6313,2,60
254,2,44
3586,2,32
1789,2,73
4138,1,85
4981,2,124
7774,2,225
5781,2,45
1181,1,166
1399,2,98
2846,2,84
1628,1,51
7457,2,81
8456,3,185
1021,1,272
4090,2,55
3591,2,214
1766,2,69
2769,2,231
107,1,55
77,2,42
5507,2,43
2966,1,88
4716,1,58
4360,2,145
1534,2,52
519,1,30
1092,1,220
7677,3,253
4659,2,83
5152,2,44
7394,2,69
5980,1,50
8065,3,181
7567,1,130
4374,2,59
6173,2,41
7640,2,22
4988,3,61
6679,2,51
6701,3,51
2137,1,69
6304,1,86
3251,2,105
5236,1,26
4855,1,78
3448,2,37
6409,1,38
1075,1,47
804,3,56
1896,3,121
2101,1,160
673,3,57
3954,2,105
5105,1,47
3616,2,24
3711,1,129
8058,2,204
625,3,193
4983,1,141
2960,2,139
6526,1,99
832,1,123
3556,3,47
55,2,191
6219,2,41
7302,3,43
6408,1,120
7049,1,96
5773,1,56
3274,1,40
3652,3,41
