BehaviorSpace results (NetLogo 6.4.0),Table version 2.0,,,,,,,,,,,,,,,,
transportation_v12.nlogo,,,,,,,,,,,,,,,,,
proofs-threshholds,,,,,,,,,,,,,,,,,
02/01/2025 09:58:18:046 -0500,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,
0,149,0,149,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
[run number],[step],count people,(count people with [t-type = 1]) / (count people),(count people with [t-type = 2]) / (count people),(count people with [t-type = 3]) / (count people),"count people with [type-choice = ""repetition""]","count people with [type-choice = ""imitation""]","count people with [type-choice = ""deliberation""]","count people with [type-choice = ""inquiry""]",mean [satisfaction] of people with [t-type = 1],mean [satisfaction] of people with [t-type = 2],mean [satisfaction] of people with [t-type = 3],mean [satisfaction] of people,mean [uncertainty] of people with [t-type = 1],mean [uncertainty] of people with [t-type = 2],mean [uncertainty] of people with [t-type = 3],mean [uncertainty] of people
15,1,17112,0.369039271,0.251519402,0.379441328,0,0,0,0,0,0,0,0,0,0,0,0
12,1,17112,0.369565217,0.251636279,0.378798504,0,0,0,0,0,0,0,0,0,0,0,0
11,1,17112,0.368980832,0.25157784,0.379441328,0,0,0,0,0,0,0,0,0,0,0,0
14,1,17112,0.36944834,0.251694717,0.378856942,0,0,0,0,0,0,0,0,0,0,0,0
1,2,17112,0.369623656,0.251694717,0.378681627,0,0,0,0,0,0,0,0,0,0,0,0
1,32,17112,0.398316971,0.262681159,0.33900187,10217,2327,467,4101,0.463412499,0.492268704,0.529950712,0.493549059,0.364641407,0.460954631,0.386105149,0.397217325
24,1,17112,0.369273025,0.251811594,0.378915381,0,0,0,0,0,0,0,0,0,0,0,0
1,62,17112,0.412634409,0.265486209,0.321879383,10174,1824,112,5002,0.443445886,0.475559868,0.530818573,0.480095172,0.361573221,0.464294715,0.42523096,0.409334474
3,1,17112,0.369623656,0.251753156,0.378623188,0,0,0,0,0,0,0,0,0,0,0,0
20,1,17112,0.369156148,0.251811594,0.379032258,0,0,0,0,0,0,0,0,0,0,0,0
